Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Period Type
172661,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Annual Average 2011,2010-12-01,25.75,,Annual Average
336658,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Annual Average 2015,2015-01-01,21.27,,Annual Average
336709,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,northern si,Annual Average 2015,2015-01-01,16.0,,Annual Average
667495,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,northern si,Annual Average 2020,2020-01-01,13.11,,Annual Average
549782,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,greenpoint,Annual Average 2017,2017-01-01,21.19,,Annual Average
740916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,greenpoint,Annual Average 2021,2021-01-01,20.55,,Annual Average
549875,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,port richmond,Annual Average 2017,2017-01-01,16.98,,Annual Average
741147,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,upper east side (cd8),Annual Average 2021,2021-01-01,20.37,,Annual Average
550025,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,washington heights and inwood (cd12),Annual Average 2017,2017-01-01,20.14,,Annual Average
167778,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,bay ridge and dyker heights (cd10),Annual Average 2013,2012-12-01,19.48,,Annual Average
741225,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,bay ridge and dyker heights (cd10),Annual Average 2021,2021-01-01,16.42,,Annual Average
550097,375,Nitrogen dioxide (NO2),Mean,ppb,CD,312,borough park (cd12),Annual Average 2017,2017-01-01,19.03,,Annual Average
741231,375,Nitrogen dioxide (NO2),Mean,ppb,CD,312,borough park (cd12),Annual Average 2021,2021-01-01,16.92,,Annual Average
211770,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Annual Average 2014,2013-12-01,22.2,,Annual Average
211777,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,flushing - clearview,Annual Average 2014,2013-12-01,19.45,,Annual Average
212558,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,coney island - sheepshead bay,Annual Average 2014,2013-12-01,17.63,,Annual Average
172721,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,203,bedford stuyvesant - crown heights,Annual Average 2013,2012-12-01,22.28,,Annual Average
741042,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,204,east new york,Annual Average 2021,2021-01-01,16.12,,Annual Average
172718,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,pelham - throgs neck,Annual Average 2013,2012-12-01,18.58,,Annual Average
549896,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,104,pelham - throgs neck,Annual Average 2017,2017-01-01,18.72,,Annual Average
741084,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,403,flushing - clearview,Annual Average 2021,2021-01-01,15.66,,Annual Average
172742,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307,upper east side-gramercy,Annual Average 2013,2012-12-01,32.1,,Annual Average
741102,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,305307,upper east side-gramercy,Annual Average 2021,2021-01-01,21.83,,Annual Average
336760,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,hunts point and longwood (cd2),Annual Average 2015,2015-01-01,20.85,,Annual Average
212556,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208,canarsie - flatlands,Annual Average 2014,2013-12-01,17.0,,Annual Average
211772,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,central harlem - morningside heights,Annual Average 2014,2013-12-01,23.86,,Annual Average
741033,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,201,greenpoint,Annual Average 2021,2021-01-01,20.55,,Annual Average
549902,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,202,downtown - heights - slope,Annual Average 2017,2017-01-01,21.12,,Annual Average
741021,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,101,kingsbridge - riverdale,Annual Average 2021,2021-01-01,14.77,,Annual Average
549947,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,west queens,Annual Average 2017,2017-01-01,20.56,,Annual Average
741081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,402,west queens,Annual Average 2021,2021-01-01,18.56,,Annual Average
167523,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,morrisania and crotona (cd3),Annual Average 2009,2008-12-01,27.71,,Annual Average
167641,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,morrisania and crotona (cd3),Annual Average 2011,2010-12-01,25.3,,Annual Average
167511,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,lower east side and chinatown (cd3),Annual Average 2009,2008-12-01,31.8,,Annual Average
667531,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,lower east side and chinatown (cd3),Annual Average 2020,2020-01-01,19.36,,Annual Average
179419,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2,brooklyn,Annual Average 2009,2008-12-01,24.11,,Annual Average
172655,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,sunset park,Annual Average 2011,2010-12-01,23.86,,Annual Average
667459,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,southeast queens,Annual Average 2020,2020-01-01,13.02,,Annual Average
212552,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204,east new york,Annual Average 2014,2013-12-01,19.75,,Annual Average
549911,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,sunset park,Annual Average 2017,2017-01-01,18.87,,Annual Average
741045,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,sunset park,Annual Average 2021,2021-01-01,18.03,,Annual Average
667555,375,Nitrogen dioxide (NO2),Mean,ppb,CD,107,upper west side (cd7),Annual Average 2020,2020-01-01,19.63,,Annual Average
167564,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,rockaway and broad channel (cd14),Annual Average 2009,2008-12-01,14.55,,Annual Average
167682,375,Nitrogen dioxide (NO2),Mean,ppb,CD,414,rockaway and broad channel (cd14),Annual Average 2011,2010-12-01,14.15,,Annual Average
667075,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104,pelham - throgs neck,Annual Average 2020,2020-01-01,16.19,,Annual Average
176526,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,williamsburg - bushwick,Annual Average 2009,2008-12-01,27.13,,Annual Average
176530,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,upper west side,Annual Average 2009,2008-12-01,31.95,,Annual Average
176614,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,upper west side,Annual Average 2011,2010-12-01,29.3,,Annual Average
667183,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,upper west side,Annual Average 2020,2020-01-01,19.62,,Annual Average
179432,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,staten island,Annual Average 2011,2010-12-01,16.17,,Annual Average
172656,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206,borough park,Annual Average 2011,2010-12-01,23.32,,Annual Average
172658,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,canarsie - flatlands,Annual Average 2011,2010-12-01,19.21,,Annual Average
172590,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,canarsie - flatlands,Annual Average 2009,2008-12-01,20.22,,Annual Average
336649,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,canarsie - flatlands,Annual Average 2015,2015-01-01,16.52,,Annual Average
172666,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,long island city - astoria,Annual Average 2011,2010-12-01,25.24,,Annual Average
172598,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,long island city - astoria,Annual Average 2009,2008-12-01,26.29,,Annual Average
667423,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,401,long island city - astoria,Annual Average 2020,2020-01-01,18.94,,Annual Average
667507,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,105106107,south bronx,Annual Average 2020,2020-01-01,18.59,,Annual Average
211780,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,408,jamaica,Annual Average 2014,2013-12-01,18.82,,Annual Average
172724,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206,borough park,Annual Average 2013,2012-12-01,20.23,,Annual Average
167681,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,queens village (cd13),Annual Average 2011,2010-12-01,19.33,,Annual Average
167563,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,queens village (cd13),Annual Average 2009,2008-12-01,19.92,,Annual Average
667045,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4,queens,Annual Average 2020,2020-01-01,14.82,,Annual Average
741057,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,bensonhurst - bay ridge,Annual Average 2021,2021-01-01,16.03,,Annual Average
741063,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,211,williamsburg - bushwick,Annual Average 2021,2021-01-01,19.04,,Annual Average
549980,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,northern si,Annual Average 2017,2017-01-01,15.45,,Annual Average
741114,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,501502,northern si,Annual Average 2021,2021-01-01,14.76,,Annual Average
336742,375,Nitrogen dioxide (NO2),Mean,ppb,CD,108,upper east side (cd8),Annual Average 2015,2015-01-01,25.77,,Annual Average
336748,375,Nitrogen dioxide (NO2),Mean,ppb,CD,110,central harlem (cd10),Annual Average 2015,2015-01-01,23.25,,Annual Average
167542,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,bay ridge and dyker heights (cd10),Annual Average 2009,2008-12-01,23.62,,Annual Average
336820,375,Nitrogen dioxide (NO2),Mean,ppb,CD,310,bay ridge and dyker heights (cd10),Annual Average 2015,2015-01-01,19.16,,Annual Average
167530,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,throgs neck and co-op city (cd10),Annual Average 2009,2008-12-01,21.33,,Annual Average
167648,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,throgs neck and co-op city (cd10),Annual Average 2011,2010-12-01,20.44,,Annual Average
667645,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,throgs neck and co-op city (cd10),Annual Average 2020,2020-01-01,15.54,,Annual Average
167650,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212,williamsbridge and baychester (cd12),Annual Average 2011,2010-12-01,20.59,,Annual Average
667657,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212,williamsbridge and baychester (cd12),Annual Average 2020,2020-01-01,16.48,,Annual Average
667099,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201,greenpoint,Annual Average 2020,2020-01-01,19.63,,Annual Average
176593,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,101,kingsbridge - riverdale,Annual Average 2011,2010-12-01,20.79,,Annual Average
172679,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,503504,southern si,Annual Average 2011,2010-12-01,14.86,,Annual Average
740901,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103,fordham - bronx pk,Annual Average 2021,2021-01-01,16.03,,Annual Average
741135,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,clinton and chelsea (cd4),Annual Average 2021,2021-01-01,22.28,,Annual Average
741141,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,stuyvesant town and turtle bay (cd6),Annual Average 2021,2021-01-01,22.13,,Annual Average
336736,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,stuyvesant town and turtle bay (cd6),Annual Average 2015,2015-01-01,29.29,,Annual Average
667549,375,Nitrogen dioxide (NO2),Mean,ppb,CD,106,stuyvesant town and turtle bay (cd6),Annual Average 2020,2020-01-01,22.65,,Annual Average
667633,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,riverdale and fieldston (cd8),Annual Average 2020,2020-01-01,15.83,,Annual Average
667123,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,205,sunset park,Annual Average 2020,2020-01-01,16.77,,Annual Average
667069,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103,fordham - bronx pk,Annual Average 2020,2020-01-01,16.98,,Annual Average
667081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,105,crotona -tremont,Annual Average 2020,2020-01-01,18.5,,Annual Average
667237,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,flushing - clearview,Annual Average 2020,2020-01-01,15.59,,Annual Average
740955,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,east harlem,Annual Average 2021,2021-01-01,18.28,,Annual Average
172589,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,east flatbush - flatbush,Annual Average 2009,2008-12-01,25.14,,Annual Average
172657,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,east flatbush - flatbush,Annual Average 2011,2010-12-01,23.56,,Annual Average
336646,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,east flatbush - flatbush,Annual Average 2015,2015-01-01,19.72,,Annual Average
667369,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,east flatbush - flatbush,Annual Average 2020,2020-01-01,16.07,,Annual Average
740919,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,downtown - heights - slope,Annual Average 2021,2021-01-01,18.78,,Annual Average
176710,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,406,fresh meadows,Annual Average 2013,2012-12-01,19.03,,Annual Average
550040,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,fordham and university heights (cd5),Annual Average 2017,2017-01-01,21.96,,Annual Average
741138,375,Nitrogen dioxide (NO2),Mean,ppb,CD,105,midtown (cd5),Annual Average 2021,2021-01-01,25.23,,Annual Average
212561,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,302,central harlem - morningside heights,Annual Average 2014,2013-12-01,23.86,,Annual Average
172725,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,east flatbush - flatbush,Annual Average 2013,2012-12-01,20.57,,Annual Average
741090,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,407,southwest queens,Annual Average 2021,2021-01-01,15.1,,Annual Average
336769,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,fordham and university heights (cd5),Annual Average 2015,2015-01-01,22.7,,Annual Average
176532,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,306,chelsea - clinton,Annual Average 2009,2008-12-01,39.87,,Annual Average
549818,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,302,central harlem - morningside heights,Annual Average 2017,2017-01-01,22.64,,Annual Average
667597,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,hunts point and longwood (cd2),Annual Average 2020,2020-01-01,18.77,,Annual Average
167522,375,Nitrogen dioxide (NO2),Mean,ppb,CD,202,hunts point and longwood (cd2),Annual Average 2009,2008-12-01,26.09,,Annual Average
167510,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,greenwich village and soho (cd2),Annual Average 2009,2008-12-01,34.83,,Annual Average
167628,375,Nitrogen dioxide (NO2),Mean,ppb,CD,102,greenwich village and soho (cd2),Annual Average 2011,2010-12-01,32.3,,Annual Average
167683,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,st. george and stapleton (cd1),Annual Average 2011,2010-12-01,20.48,,Annual Average
176521,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,borough park,Annual Average 2009,2008-12-01,24.79,,Annual Average
176605,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,borough park,Annual Average 2011,2010-12-01,23.32,,Annual Average
336505,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106,high bridge - morrisania,Annual Average 2015,2015-01-01,22.28,,Annual Average
336526,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,borough park,Annual Average 2015,2015-01-01,19.74,,Annual Average
176608,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209,bensonhurst - bay ridge,Annual Average 2011,2010-12-01,21.62,,Annual Average
336538,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210,coney island - sheepshead bay,Annual Average 2015,2015-01-01,17.08,,Annual Average
336598,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,southeast queens,Annual Average 2015,2015-01-01,17.16,,Annual Average
336481,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,manhattan,Annual Average 2015,2015-01-01,25.18,,Annual Average
667039,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,manhattan,Annual Average 2020,2020-01-01,20.54,,Annual Average
667855,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,st. george and stapleton (cd1),Annual Average 2020,2020-01-01,13.68,,Annual Average
176713,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,southeast queens,Annual Average 2013,2012-12-01,16.8,,Annual Average
741003,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409,southeast queens,Annual Average 2021,2021-01-01,14.25,,Annual Average
213633,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,st. george and stapleton (cd1),Annual Average 2014,2013-12-01,17.12,,Annual Average
213634,375,Nitrogen dioxide (NO2),Mean,ppb,CD,502,south beach and willowbrook (cd2),Annual Average 2014,2013-12-01,13.98,,Annual Average
550064,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,greenpoint and williamsburg (cd1),Annual Average 2017,2017-01-01,21.15,,Annual Average
167801,375,Nitrogen dioxide (NO2),Mean,ppb,CD,501,st. george and stapleton (cd1),Annual Average 2013,2012-12-01,17.64,,Annual Average
212069,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,204,east new york,Annual Average 2014,2013-12-01,9.04,,Annual Average
214164,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,501,st. george and stapleton (cd1),Annual Average 2014,2013-12-01,8.61,,Annual Average
176606,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207,east flatbush - flatbush,Annual Average 2011,2010-12-01,23.56,,Annual Average
176543,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,southwest queens,Annual Average 2009,2008-12-01,22.93,,Annual Average
176627,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,southwest queens,Annual Average 2011,2010-12-01,22.21,,Annual Average
213591,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,morrisania and crotona (cd3),Annual Average 2014,2013-12-01,21.57,,Annual Average
213579,375,Nitrogen dioxide (NO2),Mean,ppb,CD,103,lower east side and chinatown (cd3),Annual Average 2014,2013-12-01,25.72,,Annual Average
176711,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407,southwest queens,Annual Average 2013,2012-12-01,19.65,,Annual Average
176701,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,gramercy park - murray hill,Annual Average 2013,2012-12-01,36.08,,Annual Average
549833,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307,gramercy park - murray hill,Annual Average 2017,2017-01-01,30.31,,Annual Average
740970,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308,greenwich village - soho,Annual Average 2021,2021-01-01,21.3,,Annual Average
167785,375,Nitrogen dioxide (NO2),Mean,ppb,CD,317,east flatbush (cd17),Annual Average 2013,2012-12-01,20.69,,Annual Average
742182,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107,hunts point - mott haven,Annual Average 2021,2021-01-01,6.98,,Annual Average
214123,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,highbridge and concourse (cd4),Annual Average 2014,2013-12-01,9.99,,Annual Average
214110,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,lower east side and chinatown (cd3),Annual Average 2014,2013-12-01,10.31,,Annual Average
170402,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,103,lower east side and chinatown (cd3),Annual Average 2013,2012-12-01,9.9,,Annual Average
212933,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,207,east flatbush - flatbush,Annual Average 2014,2013-12-01,8.97,,Annual Average
336544,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,washington heights,Annual Average 2015,2015-01-01,21.14,,Annual Average
667285,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501,port richmond,Annual Average 2020,2020-01-01,14.15,,Annual Average
336574,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,401,long island city - astoria,Annual Average 2015,2015-01-01,21.39,,Annual Average
213588,375,Nitrogen dioxide (NO2),Mean,ppb,CD,112,washington heights and inwood (cd12),Annual Average 2014,2013-12-01,20.6,,Annual Average
213600,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212,williamsbridge and baychester (cd12),Annual Average 2014,2013-12-01,18.34,,Annual Average
213630,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412,jamaica and hollis (cd12),Annual Average 2014,2013-12-01,18.89,,Annual Average
167766,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210,throgs neck and co-op city (cd10),Annual Average 2013,2012-12-01,17.44,,Annual Average
550145,375,Nitrogen dioxide (NO2),Mean,ppb,CD,410,south ozone park and howard beach (cd10),Annual Average 2017,2017-01-01,17.42,,Annual Average
167798,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412,jamaica and hollis (cd12),Annual Average 2013,2012-12-01,19.07,,Annual Average
547390,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,greenpoint,Annual Average 2017,2017-01-01,8.98,,Annual Average
742185,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,greenpoint,Annual Average 2021,2021-01-01,7.67,,Annual Average
547621,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,upper east side (cd8),Annual Average 2017,2017-01-01,8.87,,Annual Average
214119,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,washington heights and inwood (cd12),Annual Average 2014,2013-12-01,9.46,,Annual Average
214129,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210,throgs neck and co-op city (cd10),Annual Average 2014,2013-12-01,8.92,,Annual Average
214161,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412,jamaica and hollis (cd12),Annual Average 2014,2013-12-01,8.45,,Annual Average
547633,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,112,washington heights and inwood (cd12),Annual Average 2017,2017-01-01,7.77,,Annual Average
742500,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,borough park (cd12),Annual Average 2021,2021-01-01,6.45,,Annual Average
212562,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,303,east harlem,Annual Average 2014,2013-12-01,23.76,,Annual Average
213624,375,Nitrogen dioxide (NO2),Mean,ppb,CD,406,rego park and forest hills (cd6),Annual Average 2014,2013-12-01,20.88,,Annual Average
741183,375,Nitrogen dioxide (NO2),Mean,ppb,CD,208,riverdale and fieldston (cd8),Annual Average 2021,2021-01-01,14.7,,Annual Average
547396,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,bedford stuyvesant - crown heights,Annual Average 2017,2017-01-01,7.53,,Annual Average
547402,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,sunset park,Annual Average 2017,2017-01-01,8.09,,Annual Average
